article_id,Placename,Filename,longitude,latitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id,Database,Chapter,Date,Trove Title,Chapter Title,Chapter Link,url,Narrative Foreground/Background,Bushfire_Tense_Context,Accuracy,Point/Polygon,Bushfire_Location,nothing,Newspaper Common Title,Coordinates,Newspaper Location,Author,Nationality,Status,Start Date,End Date,Newspaper ID,Colony/State,Gender,Status
22366486,Southern Tablelands,23916_9_11_1918_42_I_Defeat_22366486.txt,,,None,,,0,,None,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
22366486,Wilcannia,23916_9_11_1918_42_I_Defeat_22366486.txt,143.3677778,-31.565,NSW,0.027315286,0,3,100,exact,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
22366486,Sydney,23916_9_11_1918_42_I_Defeat_22366486.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
22366486,Shoalhaven River,23916_9_11_1918_42_I_Defeat_22366486.txt,150.0844444,-34.99833333,NSW,0,0,1,100,exact,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
22366486,Pig Island,23916_9_11_1918_42_I_Defeat_22366486.txt,151.0340278,-29.56875,Ambiguous,6.949741729,5.424743042,9,,exact,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
22366486,Broughton Creek,23916_9_11_1918_42_I_Defeat_22366486.txt,144.2166667,-22.65,QLD,4.426216092,4.426216092,3,66.66666667,exact,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
22366486,Sydney,23916_9_11_1918_42_I_Defeat_22366486.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
22366486,Sydney,23916_9_11_1918_42_I_Defeat_22366486.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
22366486,Sydney,23916_9_11_1918_42_I_Defeat_22366486.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
22366486,Sydney,23916_9_11_1918_42_I_Defeat_22366486.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
22366486,Sydney,23916_9_11_1918_42_I_Defeat_22366486.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,23916,Database,,1918,Mutmutbilly,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=22366486,https://trove.nla.gov.au/newspaper/article/22366486,Narrative Foreground,Present Primary,,,,,Queenslander,,"Brisbane, Qld.","Young, Flora",,Matching,9/11/18,9/11/18,42,Queensland,Female,Matching
